#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
406,preços combustíveis,燃油价格,pt,20,11000,1.10,1.29,preços combustíveis,2025-10-20 10:25:28,"Top stories,Thumbnail,Sitelinks,People also ask",11000,58000,58000,2015-09-05,"Informational,Non-branded,Non-local"
407,tradutor frances,法语翻译,pt,7,11000,0.10,0.22,tradutor português-francês,2025-10-20 23:01:02,Knowledge card,63000,5600,8300,2015-09-01,"Informational,Non-branded,Non-local"
408,perfumes,香水,pt,34,11000,0.15,0.94,perfumes,2025-10-22 00:02:22,Sitelinks,292000,4300,4400,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
409,tenis,网球,pt,1,11000,0.10,0.41,sapatilhas,2025-10-18 20:27:42,"Thumbnail,Knowledge panel,Sitelinks",1230000,8100,8700,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
410,olivia rodrigo,奥利维亚·罗德里戈,pt,73,11000,0.20,0.28,olivia rodrigo,2025-10-21 00:57:06,"Knowledge panel,Thumbnail,Sitelinks,People also ask",2250000,600,13000,2016-06-02,"Informational,Commercial,Non-branded,Non-local"
411,preço,价格,pt,1,11000,0.10,0.29,preço,2025-10-21 00:43:01,"Top stories,Thumbnail,Sitelinks",122000,1000,5500,2015-09-01,"Informational,Non-branded,Non-local"
412,t,t,pt,2,11000,0.35,0.4,t,2025-10-20 15:08:37,"AI Overview,Thumbnail",5460000,2600,22000,2015-09-01,"Informational,Non-branded,Non-local"
413,kina,深的,pt,5,11000,0.45,0.26,quina,2025-10-22 00:01:20,"Top stories,Thumbnail,Knowledge panel,People also ask",102000,350,370000,2015-09-03,"Informational,Non-branded,Non-local"
414,passagens aereas,机票,pt,46,11000,0.15,0.89,skyscanner,2025-10-21 08:51:52,"Sitelinks,Knowledge panel",880000,307000,334000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
415,relogio,钟,pt,14,11000,0.15,0.31,relogio,2025-10-22 00:31:54,Sitelinks,213000,5400,5900,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
416,bolo de laranja,橙色蛋糕,pt,0,11000,0.15,1.29,bolo de laranja,2025-10-21 03:41:37,"Top stories,Thumbnail,Video preview",91000,4900,19000,2015-09-01,"Informational,Non-branded,Non-local"
417,chuteiras,足球鞋,pt,0,10000,0.10,0.59,chuteiras,2025-10-21 18:29:58,Sitelinks,24000,3400,3900,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
418,codigo postal,邮政编码,pt,0,10000,1.20,0.98,codigo postal aljustrel,2025-10-20 22:45:31,Knowledge panel,319000,0,0,2015-09-01,"Informational,Non-branded,Non-local"
419,cortes de cabelo masculino,男士发型,pt,0,10000,0.20,0.25,cortes de cabelo masculino,2025-10-21 22:04:48,"Thumbnail,Video preview",176000,2900,9000,2015-09-01,"Informational,Non-branded,Non-local"
420,eur to usd,欧元兑美元,pt,75,10000,0.40,0.29,euro to dollar,2025-10-24 01:57:28,"People also ask,Sitelinks,Video preview",755000,3300,251000,2015-09-03,"Informational,Non-branded,Non-local"
421,santa maria da feira,圣玛丽亚达费拉,pt,12,10000,0.15,0.35,santa maria da feira,2025-10-21 23:04:34,"Knowledge panel,Sitelinks,Top stories,Thumbnail",14000,1500,1500,2015-09-01,"Informational,Non-branded,Local"
422,certidão permanente predial,永久财产证明,pt,1,10000,0.35,1.17,certidão permanente predial,2025-10-21 00:13:26,People also ask,11000,36000,37000,2015-09-01,"Informational,Non-branded,Non-local"
423,cadeira gaming,游戏椅,pt,0,10000,0.10,1.21,cadeira gaming,2025-10-21 03:53:47,"Shopping,Thumbnail,Sitelinks",11000,8700,8800,2015-09-04,"Informational,Commercial,Non-branded,Non-local"
424,translate english to portuguese,将英语翻译成葡萄牙语,pt,35,10000,0.15,0.24,google translate,2025-10-21 22:34:06,"Knowledge card,Sitelinks",121000,15000,10120000,2015-09-02,"Informational,Non-branded,Non-local"
425,credito habitação,住房信贷,pt,19,10000,1.10,1.34,simulador credito habitação,2025-10-21 00:54:51,Sitelinks,11000,23000,25000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
426,transferências,转移,pt,2,10000,0.60,0.72,transferências,2025-10-20 15:21:54,"Sitelinks,Knowledge panel,Thumbnail",14000,4200,4400,2015-09-01,"Informational,Non-branded,Non-local"
427,veneza,威尼斯,pt,3,10000,0.10,0.32,veneza,2025-10-24 15:56:24,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories,Video preview",76000,500,6800,2015-09-01,"Informational,Non-branded,Local"
428,bárbara tinoco,芭芭拉·蒂诺科,pt,5,10000,0.20,0.58,barbara tinoco,2025-10-21 13:47:50,"Thumbnail,People also ask,Knowledge panel,Video preview",11000,2800,2800,2018-09-30,"Informational,Non-branded,Non-local"
429,berlim,柏林,pt,0,10000,0.20,0.34,berlin,2025-10-21 17:19:18,"Thumbnail,Sitelinks,Knowledge panel,People also ask",38000,1500,5100,2015-09-01,"Informational,Non-branded,Local"
430,ovos rotos,破碎的鸡蛋,pt,0,10000,0.25,1.02,ovos rotos,2025-10-24 07:41:18,"Top stories,Thumbnail,People also ask,Video preview",12000,3000,3000,2015-09-09,"Informational,Non-branded,Non-local"
431,translater,翻译员,pt,56,10000,0.45,0.16,tradutor,2025-10-22 02:06:03,Knowledge card,521000,180000,204000,2015-09-01,"Informational,Non-branded,Non-local"
432,animes,动漫,pt,18,10000,0.30,0.73,animes,2025-10-21 05:19:57,"Thumbnail,Sitelinks",496000,3600,3600,2015-09-01,"Informational,Non-branded,Non-local"
433,vila nova de milfontes,米尔丰蒂斯新村,pt,6,10000,0.15,0.45,vila nova de milfontes,2025-10-21 05:18:54,"Thumbnail,Knowledge panel,Sitelinks",20000,5000,5100,2015-09-01,"Informational,Non-branded,Local"
434,jogo benfica hoje directo,本菲卡今天比赛直播,pt,55,10000,0.15,1.02,jogo benfica hoje directo,2025-10-21 13:40:19,"People also ask,Sitelinks",11000,16000,17000,2015-09-20,"Informational,Non-branded,Non-local"
435,unhas,指甲,pt,0,10000,0.15,0.23,unhas,2025-10-24 23:43:36,"Thumbnail,Local pack,Knowledge panel,Sitelinks,Video preview",101000,1700,1700,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
436,pink street,粉红街,pt,3,10000,0.15,0.28,pink street,2025-10-21 01:48:57,"People also ask,Thumbnail",14000,2500,4000,2015-09-03,"Informational,Non-branded,Local"
